selection,parameter,value,unit,source_type,source_detail,code_path,line,declaration_kind
selected,AstrocyteAgent.agent_id,AS_0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/astrocyte.py,10,class/dataclass default
selected,AstrocyteAgent.reactivity,0.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/astrocyte.py,11,class/dataclass default
selected,AstrocyteAgent.glutamate_uptake,0.8,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/astrocyte.py,12,class/dataclass default
selected,AstrocyteAgent.calcium_wave,0.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/astrocyte.py,13,class/dataclass default
selected,AstrocyteAgent.step.abeta_concentration,0.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/astrocyte.py,15,public method default
selected,AstrocyteAgent.step.cytokine_level,0.0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/astrocyte.py,15,public method default
selected,AstrocyteAgent.step.dt,0.01,simulation-time unit,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/astrocyte.py,15,public method default
selected,EndothelialAgent.agent_id,EC_0,not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,32,class/dataclass default
selected,EndothelialAgent.bbb_integrity,1.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,33,class/dataclass default
selected,EndothelialAgent.tight_junction_strength,1.0,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,34,class/dataclass default
selected,EndothelialAgent.abeta_transport_rate,0.5,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,35,class/dataclass default
selected,EndothelialAgent.ABETA_TJ_COEFF,0.04,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,40,class/dataclass default
selected,EndothelialAgent.TNF_INTEGRITY_COEFF,0.1,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,43,class/dataclass default
selected,EndothelialAgent.IL10_PROTECTION_COEFF,0.06,code-normalized / not explicitly declared,heuristic/model-assigned,Value declared in executable code; no direct literature provenance encoded for this declaration.,layer0_cell/agents/endothelial.py,46,class/dataclass default
